Account,Id,false
Account,IsDeleted,false
Account,MasterRecordId,false
Account,Name,false
Account,Type,false
Account,RecordTypeId,false
Account,ParentId,false
Account,BillingStreet,false
Account,BillingCity,false
Account,BillingState,false
Account,BillingPostalCode,false
Account,BillingCountry,false
Account,BillingLatitude,false
Account,BillingLongitude,false
Account,BillingGeocodeAccuracy,false
Account,ShippingStreet,false
Account,ShippingCity,false
Account,ShippingState,false
Account,ShippingPostalCode,false
Account,ShippingCountry,false
Account,ShippingLatitude,false
Account,ShippingLongitude,false
Account,ShippingGeocodeAccuracy,false
Account,Phone,false
Account,Fax,false
Account,AccountNumber,false
Account,Website,false
Account,PhotoUrl,false
Account,Sic,false
Account,Industry,false
Account,AnnualRevenue,false
Account,NumberOfEmployees,false
Account,Ownership,false
Account,TickerSymbol,false
Account,Description,false
Account,Rating,false
Account,Site,false
Account,OwnerId,false
Account,CreatedDate,false
Account,CreatedById,false
Account,LastModifiedDate,false
Account,LastModifiedById,false
Account,SystemModstamp,false
Account,LastActivityDate,false
Account,LastViewedDate,false
Account,LastReferencedDate,false
Account,IsCustomerPortal,false
Account,Jigsaw,false
Account,JigsawCompanyId,false
Account,AccountSource,false
Account,SicDesc,false
Account,ConnectionReceivedId,false
Account,ConnectionSentId,false
Account,A_M_Best_Rating__c,false
Account,Active__c,false
Account,Brokered_Lines__c,true,;
Account,Certificate_On_File__c,false,
Account,Color__c,false,
Account,Current_Certs_Exp_Date__c,false,
Account,ID_Prior__c,false,
Account,NAIC_number__c,false,
Account,Prior_Property_id__c,false,
Account,Prior_Tenant_Representative__c,false,
Account,Tenant_Credit_Score__c,false,
Account,RRE_ID__c,false,
Account,TIN__c,false,
Account,Plan_Contact_Department__c,false,
Account,Active_Adjuster__c,false,
Account,Bypass_Save_Rules__c,false,
Account,Current_Age__c,false,
Account,Email__c,false,
Account,Exported_to_LSS__c,false,
Account,First_Name__c,false,
Account,IPR_Approval_Limit__c,false,
Account,Insured__c,false,
Account,Last_Name__c,false,
Account,Legal_Name__c,false,
Account,MCIC_1099_Reportable__c,false,
Account,MCIC_Abbreviation__c,false,
Account,MCIC_Account_Payable__c,false,
Account,MCIC_Account_Status__c,false,
Account,MCIC_Address_1__c,false,
Account,MCIC_Address_2__c,false,
Account,MCIC_Also_Known_As__c,false,
Account,MCIC_Approved__c,false,
Account,MCIC_Category__c,false,
Account,MCIC_City__c,false,
Account,MCIC_Confidential_Account__c,false,
Account,MCIC_Contact__c,false,
Account,MCIC_Country__c,false,
Account,MCIC_County__c,false,
Account,MCIC_Date_OFAC_Status_Check__c,false,
Account,MCIC_Date_Of_Death__c,false,
Account,MCIC_Date_of_Birth__c,false,
Account,MCIC_Entity_ID_Auto_Number__c,false,
Account,MCIC_Entity_ID__c,false,
Account,MCIC_Export_to_LSS__c,false,
Account,MCIC_External_ID__c,false,
Account,MCIC_Fax__c,false,
Account,MCIC_Firm_1__c,false,
Account,MCIC_Firm_2__c,false,
Account,MCIC_Firm_3__c,false,
Account,MCIC_Firm_4__c,false,
Account,MCIC_Firm_5__c,false,
Account,MCIC_Freeze_Payments__c,false,
Account,MCIC_Gender__c,false,
Account,MCIC_Home_Phone__c,false,
Account,MCIC_LSS_Admin_ID__c,false,
Account,MCIC_MMSEA_TIN_Edit__c,false,
